Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5006702211,Damonri (4/5),0,196.23999,DST Saints  FLEX Juwan Johnson QB Tyler Shough RB De'Von Achane RB James Cook III TE Taysom Hill WR George Pickens WR Chris Olave WR Jalen Coker,,Jahmyr Gibbs,RB,49.87%,22.8
2,5005417416,PigskinABlanket (4/5),0,190.12,DST Titans  FLEX Harold Fannin Jr. QB Tyler Shough RB Bijan Robinson RB Kenneth Gainwell TE Juwan Johnson WR Ja'Marr Chase WR Chris Olave WR Adonai Mitchell,,DK Metcalf,FLEX,42.20%,8.2
3,5007497613,Tanninz08 (3/5),0,188.3,DST Vikings  FLEX Ja'Marr Chase QB Justin Herbert RB Omarion Hampton RB Kenneth Gainwell TE Harold Fannin Jr. WR Chris Olave WR Ladd McConkey WR Adonai Mitchell,,Bijan Robinson,RB,40.79%,29.8
4,5000864952,JoshSHOCKZ (1/5),0,187.31999,DST Saints  FLEX Jahmyr Gibbs QB Tyler Shough RB Bijan Robinson RB RJ Harvey TE Juwan Johnson WR Chris Olave WR Chimere Dike WR Kevin Austin Jr.,,Xavier Worthy,WR,29.44%,6.1
5,5006970449,Cornpops_picks (2/5),0,185.31999,DST Titans  FLEX Kenneth Gainwell QB Tyler Shough RB Bijan Robinson RB James Cook III TE Juwan Johnson WR Chris Olave WR DK Metcalf WR Adonai Mitchell,,Amon-Ra St. Brown,WR,28.19%,9.4
5,5007420585,jrevelle3 (3/5),0,185.31999,DST Titans  FLEX Dalton Schultz QB Tyler Shough RB Bijan Robinson RB Kenneth Gainwell TE Juwan Johnson WR CeeDee Lamb WR Chris Olave WR Tetairoa McMillan,,Jameson Williams,WR,25.13%,12
7,5005031563,jnail (4/4),0,185.12001,DST Saints  FLEX Harold Fannin Jr. QB Tyler Shough RB Jahmyr Gibbs RB Ashton Jeanty TE Travis Kelce WR Chris Olave WR Tetairoa McMillan WR DK Metcalf,,Michael Carter,RB,22.19%,6.5
8,5006663600,JCirri821 (2/5),0,184.59999,DST Falcons  FLEX Harold Fannin Jr. QB Justin Herbert RB Bijan Robinson RB Jahmyr Gibbs TE Oronde Gadsden II WR Chris Olave WR Quentin Johnston WR Tre Tucker,,Darren Waller,TE,20.44%,7
9,5007397247,meraider22 (2/3),0,182.81999,DST Titans  FLEX Bucky Irving QB Tyler Shough RB James Cook III RB Chase Brown TE Juwan Johnson WR Chris Olave WR Tetairoa McMillan WR Adonai Mitchell,,Harold Fannin Jr.,TE,18.28%,19.5
10,5003508507,jmac4275 (2/5),0,182.12,DST Lions  FLEX Kenneth Gainwell QB Tyler Shough RB Jahmyr Gibbs RB Chase Brown TE Juwan Johnson WR Chris Olave WR Justin Jefferson WR Adonai Mitchell,,Kenneth Gainwell,RB,17.63%,23.8
