Team,RotoPlayerID,PlayerContestID,PlayerID,Salary,Ownership,Opp,ProjDSTpts
DEN,20015,40393182,2640,3700,4.0,NYG,6.88
GB,20011,40393183,2657,3600,2.5,ARI,5.0
NYG,20009,40393184,2686,3500,8.8,DEN,4.71
PHI,20018,40393185,2623,3400,10.9,MIN,4.24
NE,20025,40393186,2691,3300,1.6,TEN,4.23
LAC,20023,40393187,2631,3200,5.0,IND,3.97
DAL,20005,40393188,5038,3100,10.76,WAS,3.78
MIN,20007,40393189,2648,3000,9.39,PHI,3.78
CHI,20031,40393190,2600,2900,1.4,NO,3.64
CAR,20013,40393191,2583,2800,3.7,NYJ,3.62
KC,20016,40393192,2580,2700,6.43,LV,3.48
NO,20017,40393193,2723,2600,4.3,CHI,3.34
CLE,20021,40393194,2707,2600,5.69,MIA,3.12
ARI,20008,40393196,3225,2500,1.1,GB,3.05
IND,20004,40393195,2642,2500,9.7,LAC,2.8
WAS,20030,40393197,2704,2400,3.0,DAL,2.6
MIA,20019,40393198,2608,2300,8.4,CLE,2.35
NYJ,20020,40393199,2636,2200,1.6,CAR,1.91
LV,20001,40393200,2620,2100,6.3,KC,1.6
TEN,20022,40393201,5109,2000,6.2,NE,1.16
