ID,firstname,lastname
1,Dan,Marino
2,Abdul-Karim,Al-Jabbar
3,Joe,Nedney
4,O.J.,McDuffie
8,Chris,Gedney
10,Derrick,Moore
11,Frank,Sanders
14,Johnny,McWilliams
15,Kent,Graham
16,Kevin,Butler
18,Larry,Centers
19,Leeland,McElroy
21,Rob,Moore
22,Steve,Anderson
23,Stoney,Case
27,Billy Joe,Tolliver
28,Bob,Christian
30,Chris,Chandler
31,Ed,West
34,Gary,Downs
35,Jamal,Anderson
38,Morten,Andersen
40,Richard,Huntley
42,Roell,Preston
44,Terance,Mathis
46,Todd,Kinchen
47,Tommy,Maddox
49,Bam,Morris
50,Brian,Kinchen
52,Derrick,Alexander
53,Earnest,Byner
55,Eric,Zeier
56,James,Roe
57,Jermaine,Lewis
58,Matt,Stover
59,Michael,Jackson
60,Ray,Ethridge
62,Steve,McLaughlin
63,Vinny,Testaverde
64,Alex,Van Pelt
65,Andre,Reed
66,Billy Joe,Hobert
67,Carey,Bender
68,Chris,Brantley
69,Darick,Holmes
71,Eric,Moulds
72,James,Cunningham
73,Jason,Bratton
74,Jay,Riemersma
79,Lonnie,Johnson
82,Quinn,Early
84,Steve,Christie
85,Steve,Tasker
87,Thurman,Thomas
88,Tim,Tindale
89,Todd,Collins
90,Tony,Cline
91,Anthony,Johnson
96,Ernie,Mills
97,John,Kasay
98,Kerry,Collins
99,Marquette,Smith
102,Muhsin,Muhammad
103,Raghib,Ismail
105,Steve,Beuerlein
107,Tim,Biakabutuka
109,Walter,Rasby
110,Wesley,Walls
111,Winslow,Oliver
112,Tony,Carter
113,Bobby,Engram
115,Curtis,Conway
116,Erik,Kramer
120,Jeff,Jaeger
121,Keith,Jennings
128,Rashaan,Salaam
129,Rick,Mirer
130,Ricky,Proehl
131,Ryan,Wetnight
132,Steve,Stenstrom
134,Tyrone,Hughes
137,Boomer,Esiason
138,Brian,Milne
139,Carl,Pickens
141,David,Dunn
143,Doug,Pelfrey
144,Eric,Bieniemy
145,Erik,Wilhelm
147,James,Hundon
148,Jeff,Blake
154,Ki-Jana,Carter
155,Marco,Battaglia
157,Scottie,Graham
158,Tony,McGee
161,Anthony,Miller
162,Billy,Davis
164,Daryl,Johnston
165,Deion,Sanders
166,Emmitt,Smith
167,Eric,Bjornson
168,Herschel,Walker
169,Jason,Garrett
173,Michael,Irvin
174,Richie,Cunningham
175,Sherman,Williams
176,Stepfret,Williams
177,Troy,Aikman
178,Wade,Wilson
180,Anthony,Lynn
181,Bubby,Brister
182,Darrick,Branch
186,Derek,Loville
187,Detron,Smith
188,Ed,McCaffrey
189,Howard,Griffith
190,Jamal,Willis
191,Jason,Elam
192,Jeff,Lewis
194,John,Elway
196,Patrick,Jeffers
199,Rod,Smith
200,Terrell,Davis
203,Vaughn,Hebron
204,Willie,Anderson
205,Willie,Green
207,Barry,Sanders
211,Cory,Schlesinger
212,David,Sloan
216,Frank,Reich
217,Glyn,Milburn
219,Herman,Moore
220,Jason,Hanson
221,Johnnie,Morton
222,Johnny,Johnson
224,Kez,McCorvey
227,Pete,Metzelaars
229,Ron,Rivers
230,Scott,Mitchell
232,Tommy,Vardell
233,Antonio,Freeman
234,Brett,Favre
236,Chris,Darkins
238,Derrick,Mayes
239,Don,Beebe
241,Doug,Pederson
242,Edgar,Bennett
244,Harper,LeBel
245,James,Bostic
246,Jeff,Thomason
249,Kyle,Wachholtz
250,Lovell,Pinkney
251,Mark,Chmura
252,Qadry,Ismail
253,Robert,Brooks
255,Ryan,Yarborough
256,Terry,Mickens
257,Travis,Jervey
259,William,Henderson
260,Al,Del Greco
262,Chris,Sanders
264,Dave,Krieg
265,Derek,Russell
266,Eddie,George
267,Frank,Wycheck
268,James,Ritchey
269,Mel,Gray
270,Michael,Roan
271,Mike,Archie
272,Rodney,Thomas
273,Ronnie,Harmon
275,Steve,McNair
276,Willie,Davis
277,Aaron,Bailey
280,Cary,Blanchard
281,Chris,Hetherington
285,Jim,Harbaugh
286,Kelly,Holcomb
287,Ken,Dilger
289,Lamont,Warren
290,Leon,Neal
291,Mark,Stock
292,Marshall,Faulk
293,Marvin,Harrison
297,Scott,Slutzker
298,Sean,Dawkins
299,Zack,Crockett
302,Chad,Askew
306,Derek M.,Brown
307,James,Stewart
308,Jimmy,Smith
309,Keenan,McCardell
310,Kendricke,Bullard
311,Le'Shai,Maston
312,Mark,Brunell
313,Mike,Hollis
314,Natrone,Means
315,Pete,Mitchell
317,Reggie,Barlow
319,Rob,Johnson
321,Todd,Philcox
322,Will,Moore
323,Willie,Jackson
324,Dale,Carter
325,Danan,Hughes
326,Darren,Anderson
327,Derrick,Walker
328,Donnell,Bennett
329,Elvis,Grbac
330,Greg,Hill
331,James,Hasty
332,Jerome,Woods
333,Joe,Horn
334,Kimble,Anders
335,Marcus,Allen
338,Pete,Stoyanovich
340,Rich,Gannon
343,Tamarick,Vanover
344,Tony,Stargell
347,Bernie,Parmalee
348,Calvin,Jackson
350,Charles,Jordan
351,Clayton,Holmes
352,Corey,Harris
353,Craig,Erickson
354,Frank,Wainright
355,Fred,Barnett
356,Irving,Spikes
357,Jerris,McPhail
359,Kirby,Dar Dar
360,Lamar,Thomas
363,Olindo,Mare
366,Stanley,Pritchett
367,Terrell,Buckley
369,Troy,Drayton
371,Andrew,Jordan
373,Brad,Johnson
374,Charles,Evans
375,Chris,Walsh
377,Cris,Carter
378,David,Frisch
379,David,Palmer
381,Greg,Davis
382,Greg,DeLong
383,Harold,Morrow
384,Hunter,Goodwin
385,Jake,Reed
386,James T.,Stewart
387,Jay,Walker
389,Leroy,Hoard
390,Moe,Williams
391,Randall,Cunningham
392,Robert,Smith
393,Scott,Sisson
395,Adam,Vinatieri
396,Ben,Coates
397,Curtis,Martin
398,Dave,Meggett
399,Dietrich,Jells
400,Drew,Bledsoe
401,Jimmy,Hitchcock
403,Keith,Byars
404,Marrio,Grier
407,Mike,Bartrum
408,Sam,Gash
409,Scott,Zolak
410,Shawn,Jefferson
411,Steve,Israel
412,Terry,Glenn
413,Tom,Tupa
414,Troy,Brown
415,Ty,Law
416,Vincent,Brisby
419,Daryl,Hobbs
420,Derek,Brown
