Season,GameWeek,Split,Team,PlayerID,IgnoreStatus,PassAttempts,RushAttempts,Targets,PassCompletions,PassYards,PassTDs,PassInts,RushYards,RushTDs,RecCompletions,RecYards,RecTDs,offPassFD,offPassIntTD,offPassTD9,offPassTD19,offPassTD29,offPassTD39,offPassTD49,offPassTD50,offPass2Pt,offPass40,offTimesSacked,offRushFD,offRushTD9,offRushTD19,offRushTD29,offRushTD39,offRushTD49,offRushTD50,offRush2Pt,offRush40,offRecFD,offRecTD9,offRecTD19,offRecTD29,offRecTD39,offRecTD49,offRecTD50,offRec2Pt,offRec40,offFumbles,offFumblesLost,offFumbleTD,specBlockedFGTD,specBlockedPuntTD,specFGAtt,specFGMade,specFGMade19,specFGMade29,specFGMade39,specFGMade49,specFGMade50,specFGMissed19,specFGMissed29,specFGMissed39,specFGMissed49,specFGMissed50,specFGTotalYds,specKORetAtt,specKORetTD,specKORetYds,specPuntRetAtt,specPuntRetTD,specPuntRetYds,specKickTotalTD,specKickRetYards,specXPAtt,specXPMade,defBlockedKick,defFumbles,defFumblesRec,defFumbReturnTDs,defFumRetYds,defIntReturnTDs,defIntRetYds,defPassDef,defPassInt,defReturnTds,defQBHit,defSacks,defSackYds,defSafeties,defSoloTackles,defTackles,defTFL,defXPReturn,def10TackleBonus,def2SackBonus,def3PassDefBonus,def4thDownStop,def50YdFumbBonus,def50YdIntBonus,specFGMade59,specFGMissed59,specFGMade60,specFGMissed60
2025,7,C,LAR,5971,0,38.976,1.967714914,0,27.67326795,327.8817647,3.079969188,0.76926864,10.67929906,0.197592176,0,0,0,14.7974666,0.035475638,NULL,NULL,NULL,NULL,NULL,NULL,0.073582557,0.338380237,2.512857671,0.509916947,NULL,NULL,NULL,NULL,NULL,NULL,0.003508201,0.006829397,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0.365006332,0.158777755,0.00635111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
2025,7,C,PIT,7449,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051711323,0.031543542,0,0,0,0,0.422221449,0.007893465,0,1.017183771,0.435935922,2.542959521,0,2.181477617,3.940733831,0.492591729,0,0.082601604,0.055684449,0.023085655,0.029290424,0,0,NULL,NULL,NULL,NULL
2025,7,C,WAS,7504,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09153892,0.032185,0.004283395,0,0.003842978,0,0,0.021344318,0.004699701,0,0.108585095,0,0.003370747,1.10873926,1.732404995,0.132727294,0,0,1.69E-05,0,0.035408612,0,0,NULL,NULL,NULL,NULL
2025,7,C,CHI,8065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
2025,7,C,KC ,8783,0,0,0,8.060896986,0,0,0,0,0,0,7.839292439,82.94852661,0.856576793,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0.017844053,NULL,NULL,NULL,NULL,NULL,NULL,0,0.000294214,3.152240558,NULL,NULL,NULL,NULL,NULL,NULL,0.015113085,0.090064016,0.089839494,0.03908018,0.001563207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
2025,7,C,SF ,8930,0,0,0.153236617,0.957286753,0,0,0,0,0.864385652,0.025063382,0.964934007,10.22216395,0.117763966,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
2025,7,C,LAC,9251,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164309864,0.09166328,0.004791153,0.151244412,0.004298527,0,0.542574418,0.02387449,0.005256808,1.00321966,0.429951271,2.866341919,0.003770318,1.220792412,2.373762981,0.406930786,0,0,0.051506627,0.030831574,0.039605977,0.001960219,0,NULL,NULL,NULL,NULL
2025,7,C,NO ,9317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
2025,7,C,SEA,9344,0,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147492616,0.029943024,0,0,0,0,0.24811304,0.007492951,0,0.717181589,0.358590794,2.086346489,0,1.73679128,2.853299782,0.49622608,0,0.040390706,0.043641849,0.009302514,0.027804229,0,0,NULL,NULL,NULL,NULL
2025,7,C,LAR,9455,0,0,0.029348,14.864456,0,0,0,0,0.167106665,0.002261393,10.40936355,148.4691823,1.714954793,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,0,0,4.647507765,NULL,NULL,NULL,NULL,NULL,NULL,0.024625028,0.197766288,0.098883144,0.043014168,0.001720567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL
